Marker	LG	cM	ChrPos
MC216	1	0	434165
AI_09-F07	1	0	2192805
CMPSNP1095	1	2.641	2308271
CMPSNP989	1	11.207	2872145
CMPSNP86	1	17.48	3462463
CMPSNP2163	1	20.106	3969039
CMPSNP2162	1	21.208	4111929
FR10P24	1	22.315	4203437
CMPSNP2160	1	23.415	5656109
CMPSNP2134	1	23.421	5838507
CMPSNP951	1	24.52	7028609
CMPSNP83	1	24.52	7290864
CMPSNP847	1	24.52	7520414
CMPSNP2587	1	24.883	7847272
CMPSNP2588	1	24.883	7854218
CMPSNP2158	1	24.883	7998401
CMPSNP3577	1	24.883	8296785
CMPSNP916	1	25.247	9385350
P01.16	1	25.247	9617339
CMPSNP1084	1	25.247	10280591
CMPSNP2183	1	25.247	10957880
AI_09-G08	1	25.247	11526507
CMPSNP880	1	25.247	11932534
CMPSNP663	1	33.956	15512286
CMPSNP161	1	35.431	15993600
CMPSNP441	1	37.553	16567578
CMPSNP2541	1	38.388	17339746
CMPSNP2540	1	38.388	17342501
CMPSNP2539	1	38.388	17392624
CMPSNP2537	1	38.388	17410771
AI_34-A07	1	38.388	18264370
CMPSNP1111CE74	1	38.388	18265855
CMPSNP399	1	40.99	23338693
CMPSNP2547	1	40.99	23751994
CMPSNP2551	1	40.99	23785604
CMPSNP2080	1	40.99	23906304
CMPSNP289	1	41.354	25697237
CMPSNP711	1	41.354	26435118
CMPSNP484	1	41.354	26832409
CMPSNP560	1	41.354	27307221
CMPSNP1157	1	44.73	29590136
AI_09-D03	1	45.46	29981677
PSI_12-D08	1	48.469	31207899
CMPSNP410	1	53.376	31720376
FR12I13	1	53.74	31735677
AI_05-G01	1	59.963	32458298
CMPSNP521	1	64.942	32861492
CMPSNP731	1	71.552	33411684
CMPSNP485	1	72.646	33601988
CMPSNP1076	1	72.282	33731679
CMPSNP764	1	77.387	33885651
CMPSNP615	1	82.172	34269481
MC212	1	83	34468290
CMPSNP797CE258	1	84.844	34541055
CMPSNP204	1	91.487	34984825
CMPSNP54	2	0	22591
CMPSNP774	2	0	170825
CMPSNP431	2	5.884	827502
MC340	2	10	1146698
FR10O18	2	13.903	1421628
CMPSNP502	2	36.855	2718968
CMPSNP1057	2	40.255	3609917
CMPSNP222	2	41.729	6329907
CMPSNP139	2	42.096	7280143
PS_10-C09	2	43.945	7891914
CMPSNP2010	2	45.774	11099364
CMPSNP2011	2	45.044	11352231
P05.79	2	47.267	14226075
CMPSNP1003	2	51.515	15031758
CMPSNP2012	2	56.187	16890380
CMPSNP2341	2	56.554	17113648
CMPSNP128	2	57.653	17546074
CMPSNP2218	2	57.653	17696549
CMPSNP2221	2	58.383	18311690
CMPSNP2224	2	58.747	18535217
CMPSNP3735	2	58.747	18903519
CMPSNP2226	2	59.11	19013283
CMPSNP3748	2	59.11	19106010
CMPSNP2168	2	59.11	19142625
CMPSNP246	2	59.11	19631288
CMPSNP375	2	60.573	20560315
CMPSNP2169	2	60.573	20660047
CMPSNP2484	2	60.209	20862929
CMPSNP2485	2	60.209	20864432
PS_02-H06	2	61.3	21797158
CMPSNP886	2	61.3	21833861
CMPSNP381	2	65.521	22917617
CMPSNP658	2	82.691	24378605
AI_14-E02	2	91.521	24893780
CMPSNP566	2	93.385	24971048
CMPSNP2278	2	95.611	25346265
CMPSNP2277	2	95.611	25360525
CMPSNP2276	2	97.834	25665652
CMPSNP94	2	100.82	26110714
MC252	2	100.83	26127596
CMPSNP2275	2	100.82	26169309
MC127	3	0	924696
CMPSNP46	3	0	1136349
AI_14-B01	3	8.092	2804389
CMPSNP307	3	11.911	3386642
CMPSNP271	3	13.753	3914687
PS_09-H05	3	14.848	4756691
CMPSNP31	3	14.848	5307007
CMPSNP918	3	17.439	6150631
CMPSNP9	3	19.645	7821849
CMPSNP4286	3	20.006	8716840
CMPSNP260	3	20.006	9348422
CMPSNP2614	3	20.006	9351790
CMPSNP2019	3	20.367	10149403
CMPSNP2018	3	20.729	10223178
CMPSNP316	3	22.56	14114486
CMPSNP2192	3	22.56	16309768
CMPSNP2189	3	22.56	16610133
CMPSNP2186	3	22.921	17537028
CMPSNP2270	3	22.921	18362649
CMPSNP2505	3	22.921	18895721
CMPSNP2510	3	22.921	18927262
CMPSNP2070	3	22.921	19633843
CMPSNP661	3	25.127	20428399
A_21-C11	3	26.959	21057038
CMPSNP29	3	28.775	21955132
AI_33-H11	3	30.985	22385111
CMPSNP2326	3	33.191	22750002
CMPSNP2327	3	33.191	22782303
CMPSNP2328	3	34.282	23052472
CMPSNP64	3	34.282	23110134
46d_37-H06	3	38.915	23643135
CMPSNP422	3	42.694	23992236
CMPSNP8	3	49.492	24821085
CMPSNP647	3	67.323	27023167
PS_08-G08b	3	76.133	28033234
CmACS5	3	80	28619398
CMPSNP595	3	83.37	28841041
CMPSNP26	3	86.803	29263871
A31E10	4	0	644885
CMPSNP147	4	0	3943575
CMPSNP679	4	2.99	6330516
CMPSNP2321	4	2.99	7254431
CMPSNP2033	4	2.99	7529486
CMPSNP492	4	2.629	8181509
CMPSNP580	4	3.715	8951412
CMPSNP2032	4	4.439	10964281
CMPSNP990	4	4.8	11166989
CMPSNP2021	4	4.8	12453629
AI_03-F03	4	6.26	13455969
CMPSNP608	4	6.621	14285220
CMPSNP634	4	9.976	15121232
CMPSNP810	4	14.494	15989750
CMPSNP420	4	16.33	16715268
CMPSNP383	4	16.33	16781756
CMPSNP2244	4	17.421	18199231
CMPSNP255	4	17.421	18261203
CMPSNP2243	4	18.145	18674263
CMPSNP629	4	18.506	18904571
CMPSNP940	4	19.597	19905191
CMPSNP300	4	19.597	19927312
CMPSNP716	4	19.958	21025536
CMPSNP1131	4	19.958	21025861
CMPSNP2155	4	19.958	21331496
CMPSNP2364	4	19.958	21362967
CMPSNP4018	4	19.958	21663896
CMPSNP2360	4	20.683	21858469
CMPSNP2359	4	20.683	21862800
CMPSNP2343	4	20.683	21885606
CMPSNP2344	4	20.683	21898012
CMPSNP2349	4	20.683	22491582
CMPSNP2482	4	21.044	22592860
CMPSNP2500	4	21.044	22647380
CMPSNP2498	4	21.044	22680737
CMPSNP2493	4	21.405	22725668
CMPSNP2495	4	21.766	22703172
CMPSNP309	4	21.044	23283971
CMPSNP732	4	22.491	24407602
CMPSNP187	4	22.491	24552112
CMPSNP2180	4	22.491	24774387
CMPSNP2373	4	22.491	24819187
CMPSNP2377	4	22.491	24938847
CMPSNP4070	4	22.491	25109449
CMPSNP2473	4	22.491	25293674
CMPSNP2475	4	22.491	25388969
CMPSNP2477	4	22.491	25395157
CMPSNP2451	4	22.491	25415730
CMPSNP4222	4	22.491	25419130
CMPSNP2449	4	22.491	25509267
CMPSNP2448	4	22.852	25532302
CMPSNP2447	4	22.852	25533329
CMPSNP2339	4	22.852	25659424
CMPSNP202	4	23.213	25963528
CMPSNP2337	4	23.213	26131798
CMPSNP2336	4	23.213	26192945
CMPSNP265	4	27.354	26895032
AI_10-B10	4	28.449	27128036
CMPSNP197	4	29.909	27351377
CMPSNP607	4	46.364	29011136
CMPSNP134	4	55.413	30068860
CMPSNP442	4	65.878	31285672
CMPSNP808IR38B	4	69.704	31771298
CMPSNP575	4	76.829	32501892
CmEthInd	4	76.829	32619299
CMPSNP898	5	0	259863
MC233	5	7	713441
CMPSNP387	5	14.064	1253856
CMPSNP437	5	22.059	1694212
CMPSNP726	5	34.289	2372278
HS_11-A09B	5	41.809	4192981
CMPSNP2384	5	43.972	4911408
CMPSNP4078	5	43.972	5036500
CMPSNP4079	5	43.972	5013651
CMPSNP2380	5	43.972	5234693
SSH9G15	5	45.764	5894125
CMPSNP2124	5	47.556	6198969
CMPSNP3426	5	47.91	6473402
CMPSNP2126	5	48.619	7560391
CMPSNP2077	5	48.972	7623614
CMPSNP734	5	49.325	8299051
CMPSNP242	5	49.679	9210069
CMPSNP760	5	50.032	10662126
CMPSNP2005	5	50.386	11592054
PS_03-B08	5	50.386	12305531
CMPSNP1005	5	50.386	13185470
CMPSNP682	5	50.386	14570647
CMPSNP788	5	50.386	18548596
CMPSNP1018	5	50.744	20083198
CMPSNP1136	5	67.723	24095004
CMPSNP588	5	78.346	25266831
MC276	5	82	25774382
CMPSNP690	5	89.972	26335629
CMPSNP466	5	99.267	27281967
CMPSNP1082	5	110.521	28074156
MC069	6	0	671783
CMPSNP925	6	0	700077
CMPSNP218	6	6.8	1370839
CMPSNP462	6	14.511	2272140
CMPSNP868	6	23.211	3194625
CMPSNP433	6	29.661	4136411
CMPSNP286	6	41.396	5265141
CMPSNP780	6	47.387	6045530
CMPSNP617	6	54.696	7706191
CMPSNP365	6	55.814	8041130
CMPSNP2456	6	55.814	8414027
CMPSNP4231	6	55.814	8373843
CMPSNP2455	6	55.814	8347113
CMPSNP2611	6	55.814	8599471
CMPSNP2612	6	55.814	8645574
CMPSNP2060	6	55.814	8939101
CMPSNP2061	6	55.814	9055805
CMPSNP2067	6	56.921	10511532
CMPSNP2068	6	59.16	12057195
CMPSNP2572	6	59.16	12489539
CMPSNP2516	6	59.16	12499201
CMPSNP292	6	59.895	13521687
